ID,Register,Model,Class,MDACV1,MDACV2,MDACV3,MDACV4,MDACV5,MDACV6
GCM 7.219-3,GCLRM  G7.219-3,MDA,Dromaeosaur B,4.2698032,-2.0944568,0.2472565,0.15105829,-0.790897241,1.48E-08
GCM_G10022,GCLRM G10022,MDA,Dromaeosaur B,2.3848289,1.0258113,0.4705638,-0.02954397,2.412882306,-3.85E-09
GCM_100-64,GCLRM G100-64,MDA,Dromaeosaur B,10.7506526,-5.185801,-0.9566329,0.6183139,0.004822182,1.91E-08
GCM_10-37,GCLRM G10-37,MDA,Dromaeosaur B,12.9714076,-2.4038068,1.3278877,2.06090263,0.87324495,5.07E-09
GCM_12-28,GCLRM G12-28,MDA,Dromaeosaur B,9.203809,-2.9913674,-0.8578368,1.26499553,1.403501522,6.12E-09
GCM_14-22,GCLRM G14-22,MDA,Dromaeosaur B,8.5873731,-3.0544272,-1.4559874,0.814267,-1.727351985,2.49E-08
GCM_167-24,GCLRM G167-24,MDA,Dromaeosaur B,5.856278,-1.1135756,2.6227317,0.64737862,1.852819791,-5.16E-09
GCM_167-32,GCLRM G167-32,MDA,Dromaeosaur B,7.1832944,-3.1109945,-3.0125352,2.41621898,-0.914665352,2.03E-08
GCM_68-1,GCLRM G68-1,MDA,Dromaeosaur B,12.5699367,-6.0294666,-0.9300411,2.30194151,-1.010120018,2.00E-08
GCM_HQ 104 C -1,GCLRM GHQ 104 C -1,MDA,Dromaeosaur B,11.0581666,-4.0470504,-1.3221159,1.40203677,-0.870001216,1.90E-08
GCM_TEMP3061,GCLRM GTEMP3061,MDA,Dromaeosaur B,2.8516947,0.3308665,0.6944508,0.37629851,1.33924874,9.65E-10
GCM_Tube 67,GCLRM GTube 67,MDA,Dromaeosaur B,3.8658569,-1.4703059,2.1744343,0.96172949,-0.520826596,6.38E-09
GCM_X,GCLRM GX,MDA,Dromaeosaur B,9.580111,-3.2064122,-0.8687016,1.02922323,-1.844075586,1.91E-08
