Specimen,Locality,Actual,Majority Vote,Combined posterior probability,P
GLRCM G100-14,Hornsleasow   ,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
GLRCM G100-21,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.88
GLRCM G100-9,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
GLRCM G140-7,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.88
GLRCM G14-27,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
GLRCM G21-22,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.88
GLRCM G38-10,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
GLRCM G75704,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.88
GLRCM G91702,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.85
GLRCM G91705,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.86
GLRCM G91706,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.88
NHMUK PV R 37904,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
NHMUK PV R 37905,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.76
NHMUK PV R 37906,Hornsleasow,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.86
NHMUK PV R 37907,Kirtlington,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
NHMUK PV R 37908,Kirtlington,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
NHMUK PV R 37910,Kirtlington,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.68
NHMUK PV R 37924,Kirtlington,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.77
NHMUK PV R 37925,Kirtlington,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.76
NHMUK PV R 37926,Kirtlington,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.77
NHMUK PV R 37927,Kirtlington,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
NHMUK PV R 37928,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.88
NHMUK PV R 37929,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.75
NHMUK PV R 37935,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
NHMUK PV R 37939,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.7
NHMUK PV R 37940,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
NHMUK PV R 37941,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
NHMUK PV R 37942,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.83
NHMUK PV R 37944,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.66
NHMUK PV R 37945,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.85
NHMUK PV R 37946,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.84
NHMUK PV R 37947,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.64
NHMUK PV R 37948,Woodeaton,Dromaeosaur  A,Troodontidae,Troodontidae,0.72
NHMUK PV R 37949,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.81
