ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,MDL,DDL,AL,Age,Original_Taxon,Clade,Clade2,Combined_clade,Tooth_position,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_Lat_PBDB,P_long_PBDB,P_Lat_Gplates,P_Long_Gplates,P_lat,P_Lon,Locality,Notes
1,NHMUK PV R 36769,NA,NA,NA,NA,6.16,NA,0.162337662,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
2,NHMUK PV R 36770,1.19,NA,NA,NA,12.58,NA,0.079491256,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
3,NHMUK PV R 36771,2.38,3.37,1.2,10,7.7,0.1,0.12987013,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
4,NHMUK PV R 36772,1.33,2.69,0.86,NA,9.5,NA,0.105263158,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
5,NHMUK PV R 36773,NA,NA,NA,18.1,14.9,0.06,0.067114094,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
6,NHMUK PV R 36774,1.45,2.58,0.88,NA,14.7,NA,0.068027211,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
7,NHMUK PV R 36775,1.15,2.3,0.75,NA,14.4,NA,0.069444444,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
8,NHMUK PV R 36776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
9,NHMUK PV R 36777,NA,NA,NA,NA,9.05,NA,0.110497238,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
10,NHMUK PV R 36778,1.94,4.1,1.74,5.78,6.36,0.17,0.157232704,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
