ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,Original_Taxon,Clade,Clade1,Clade2,Combined_clade,Higher_level_taxonomy,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_lat,P_Lon,Locality
3,NHMUK PV R 36771,2.38,3.37,1.2,10,7.7,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,27.72,18.45,Watton Cliff
10,NHMUK PV R 36778,1.94,4.1,1.74,5.78,6.36,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,27.72,18.45,Watton Cliff
11,NHMUK PV R 36779,1.27,2.16,0.72,15.2,13,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,27.72,18.45,Watton Cliff
19,WD21,1.96,2.96,0.65,12,8.695652174,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
21,WD23,2.18,5.12,1.81,9.68,5.681818182,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
22,WD24,1.65,2.5,0.83,7.14,6.756756757,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
23,WD25,2.39,6.03,2.26,8.47,8.333333333,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
25,WD29,1.4,1.98,0.7,0,8.641975309,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
26,WD31,1.28,2.9,0.94,0,0,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
27,WD37,0.94,1.97,0.58,0,0,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
28,WD43,4.35,7.4,1.71,11.11,5.681818182,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
29,WD59,1.04,1.76,0.56,0,0,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
31,WD61,1.6,2.56,0.89,15.38,16.66666667,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
32,WD62,1.43,1.66,0.72,9.09,10.41666667,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
33,WD63,1.27,2.35,0.75,0,0,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
34,WD64,1.42,2.63,0.81,5.71,3.921568627,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
35,WD65,1.6,2.39,0.86,0,3.51758794,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
36,WD66,1.45,2.21,0.82,0,5.172413793,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
37,WD67,1.14,2.6,0.71,0,5.833333333,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
38,WD69,2.41,4.21,1.1,0,3.804347826,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
39,WD70,1.96,3.78,0.85,6.25,3.289473684,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
40,WD71,2.95,4.54,1.48,0,3.153153153,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
42,WD73,1.72,3.66,1.18,0,4.347826087,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
43,WD74,1.93,5.07,1.16,0,4.04040404,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
44,WD75,2.5,5.76,1.75,0,3.225806452,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
