"","GroupID","SPECID","CBL","CH","CBW","ADM","PDM","class","prob.Abelisauridae","prob.Allosauridae","prob.Carcharodontosauridae","prob.Dromaeosaur.Morphotype.1","prob.Dromaeosaur.Morphotype.2","prob.Dromaeosaur.Morphotype.3","prob.Megalosauridae","prob.Metriacanthosauridae","prob.Neotheropoda","prob.Neovenatoridae","prob.Noasauridae","prob.Non_abelisauroid_Ceratosauria","prob.Non_averostran_Neotheropoda","prob.Non_megalosauran_Megalosauroidea","prob.Non_tyrannosaurid_Tyrannosauroidea","prob.Proceratosauridae.","prob.Spinosauridae.Morphotype.1","prob.Therizinosauria","prob.Troodontidae","prob.Tyrannosauridae.Morphotype.1","prob.Tyrannosauridae.Morphotype.2","prob.Tyrannosauridae.Morphotype.3","prob.Tyrannosauridae.pmx.Morphotype.1"
"1","Indian","DUGF/J19",-1.2369319,-1.834307,-1.250752, 0.8813398, 0.9035959,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0055,0.7665,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.1995,0.0000,0.0000,0.0000
"2","Indian","DUGF/J20",-1.7520488,-1.834307,-1.324033, 0.8375187, 0.9035959,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0760,0.7040,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0450,0.1580,0.0000,0.0000,0.0000
"3","Indian","DUGF/J22",-0.8714507,-1.422482,-1.054306,-1.1665805, 0.7785432,"Dromaeosaur.Morphotype.1",0.0000,0.0000,0.0000,0.8245,0.0620,0.0035,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0850,0.0155,0.0000,0.0000,0.0000
"4","Indian","DUGF/J23",-1.2369319,-1.834307,-1.116307, 0.8813398, 0.9595654,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0005,0.6745,0.0415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.2785,0.0000,0.0000,0.0000
"5","Indian","DUGF/J27",-0.8714507,-1.834307,-1.250752,-1.1665805, 0.7785432,"Dromaeosaur.Morphotype.1",0.0000,0.0000,0.0000,0.8275,0.0630,0.0050,0.0000,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0785,0.0155,0.0000,0.0000,0.0000
"6","Indian","DUGF/J28",-1.2369319,-1.834307,-1.324033,-1.1665805, 0.4987960,"Dromaeosaur.Morphotype.1",0.0000,0.0000,0.0000,0.8290,0.0345,0.0030,0.0000,0.0000,0.0010,0.0000,0.0030,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0190,0.1090,0.0000,0.0000,0.0000,0.0000
"7","Indian","DUGF/J30",-1.2369319,-1.834307,-1.181661,-1.1665805,-1.2373042,"Dromaeosaur.Morphotype.1",0.0000,0.0000,0.0000,0.2340,0.0045,0.0025,0.0000,0.0000,0.0750,0.0000,0.0915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4890,0.1035,0.0000,0.0000,0.0000,0.0000
"8","Indian","DUGF/J31",-1.2369319,-1.834307,-1.181661,-1.1665805,-1.2373042,"Dromaeosaur.Morphotype.1",0.0000,0.0000,0.0000,0.2340,0.0045,0.0025,0.0000,0.0000,0.0750,0.0000,0.0915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4890,0.1035,0.0000,0.0000,0.0000,0.0000
"9","Indian","DUGF/J32",-1.2369319,-1.422482,-1.181661,-1.1665805, 0.7785432,"Dromaeosaur.Morphotype.1",0.0000,0.0000,0.0000,0.7595,0.0795,0.0030,0.0000,0.0000,0.0010,0.0000,0.0030,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0200,0.1170,0.0155,0.0000,0.0000,0.0000
"10","Indian","DUGF/J36",-0.8714507,-1.422482,-1.054306,-1.1665805, 0.7440173,"Dromaeosaur.Morphotype.1",0.0000,0.0000,0.0000,0.8565,0.0460,0.0005,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0865,0.0010,0.0000,0.0000,0.0000
