,GroupID,SPECID,CBL,CH,CBW,ADM,PDM,mda,rf,c5,majority,prob.Abelisauridae,prob.Allosauridae,prob.Carcharodontosauridae,prob.Dromaeosaur.Morphotype.1,prob.Dromaeosaur.Morphotype.2,prob.Dromaeosaur.Morphotype.3,prob.Megalosauridae,prob.Metriacanthosauridae,prob.Neotheropoda,prob.Neovenatoridae,prob.Noasauridae,prob.Non_abelisauroid_Ceratosauria,prob.Non_averostran_Neotheropoda,prob.Non_megalosauran_Megalosauroidea,prob.Non_tyrannosaurid_Tyrannosauroidea,prob.Proceratosauridae.,prob.Spinosauridae.Morphotype.1,prob.Therizinosauria,prob.Troodontidae,prob.Tyrannosauridae.Morphotype.1,prob.Tyrannosauridae.Morphotype.2,prob.Tyrannosauridae.Morphotype.3,prob.Tyrannosauridae.pmx.Morphotype.1
1,Indian,DUGF/J19,-1.2369319,-1.834307,-1.250752,0.8813398,0.9035959,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.3,Dromaeosaur.Morphotype.3,Dromaeosaur.Morphotype.3,0,0,0,0.003666667,0.578611603,0.22661303,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.1871087,0,0,0
2,Indian,DUGF/J20,-1.7520488,-1.834307,-1.324033,0.8375187,0.9035959,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.3,Dromaeosaur.Morphotype.3,Dromaeosaur.Morphotype.3,0,0,0,0.050666667,0.536944937,0.222946363,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.159442033,0,0,0
3,Indian,DUGF/J22,-0.8714507,-1.422482,-1.054306,-1.1665805,0.7785432,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0,0,0,0.790689243,0.041333333,0.002333333,0,0,0.002333333,0,0,0,0,0,0,0,0,0.004,0.148977423,0.010333333,0,0,0
4,Indian,DUGF/J23,-1.2369319,-1.834307,-1.116307,0.8813398,0.9595654,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.3,Dromaeosaur.Morphotype.3,Dromaeosaur.Morphotype.3,0,0,0,0.000333333,0.51727827,0.239279697,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0.239775367,0,0,0
5,Indian,DUGF/J27,-0.8714507,-1.834307,-1.250752,-1.1665805,0.7785432,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0,0,0,0.792689243,0.042,0.003333333,0,0,0.003,0,0,0,0,0,0,0,0,0.004,0.14464409,0.010333333,0,0,0
6,Indian,DUGF/J28,-1.2369319,-1.834307,-1.324033,-1.1665805,0.498796,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0,0,0,0.793689243,0.023,0.002,0,0,0.000666667,0,0.002,0,0,0,0.001,0,0,0.012666667,0.164977423,0,0,0,0
7,Indian,DUGF/J30,-1.2369319,-1.834307,-1.181661,-1.1665805,-1.2373042,Dromaeosaur.Morphotype.1,Therizinosauria,Therizinosauria,Therizinosauria,0,0,0,0.17565848,0.003,0.001666667,0,0,0.154746467,0,0.086151917,0,0,0,0,0,0,0.50977647,0.069,0,0,0,0
8,Indian,DUGF/J31,-1.2369319,-1.834307,-1.181661,-1.1665805,-1.2373042,Dromaeosaur.Morphotype.1,Therizinosauria,Therizinosauria,Therizinosauria,0,0,0,0.17565848,0.003,0.001666667,0,0,0.154746467,0,0.086151917,0,0,0,0,0,0,0.50977647,0.069,0,0,0,0
9,Indian,DUGF/J32,-1.2369319,-1.422482,-1.181661,-1.1665805,0.7785432,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0,0,0,0.74735591,0.053,0.002,0,0,0.000666667,0,0.002,0,0,0,0.001,0,0,0.013333333,0.170310757,0.010333333,0,0,0
10,Indian,DUGF/J36,-0.8714507,-1.422482,-1.054306,-1.1665805,0.7440173,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0,0,0,0.812022577,0.030666667,0.000333333,0,0,0.002333333,0,0,0,0,0,0,0,0,0.004,0.149977423,0.000666667,0,0,0
