"","GroupID","SPECID","CBL","CH","CBW","ADM","PDM","class","prob.Abelisauridae","prob.Allosauridae","prob.Carcharodontosauridae","prob.Dromaeosaur.Morphotype.1","prob.Dromaeosaur.Morphotype.2","prob.Dromaeosaur.Morphotype.3","prob.Megalosauridae","prob.Metriacanthosauridae","prob.Neotheropoda","prob.Neovenatoridae","prob.Noasauridae","prob.Non_abelisauroid_Ceratosauria","prob.Non_averostran_Neotheropoda","prob.Non_megalosauran_Megalosauroidea","prob.Non_tyrannosaurid_Tyrannosauroidea","prob.Proceratosauridae.","prob.Spinosauridae.Morphotype.1","prob.Therizinosauria","prob.Troodontidae","prob.Tyrannosauridae.Morphotype.1","prob.Tyrannosauridae.Morphotype.2","prob.Tyrannosauridae.Morphotype.3","prob.Tyrannosauridae.pmx.Morphotype.1"
"1","Madagascar","MSNM V5778", 0.459849518, 0.769954915, 0.67107210,-0.302138297,-0.25458214,"Troodontidae",0.23608382,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42925842,0.25956095,0.00000000,0.07509681,0.00000000
"2","Madagascar","MSNM V5779", 0.809558006, 0.737762154, 0.51606522,-0.378988845,-0.34080535,"Troodontidae",0.36760340,0.07458876,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41656271,0.06836938,0.00000000,0.07287576,0.00000000
"3","Madagascar","MSNM V5781",-0.072003064,-0.219618702,-0.06533875, 0.126596576, 0.07723576,"Dromaeosaur.Morphotype.2",0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"4","Madagascar","MSNM V5782", 0.437321721, 0.251469278, 0.35747994,-0.110768339,-0.03987277,"Dromaeosaur.Morphotype.2",0.00000000,0.00000000,0.00000000,0.00000000,0.48689540,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42796256,0.00000000,0.08514205,0.00000000
"5","Madagascar","MSNM V5784", 0.280387984, 0.197876302, 0.13074709, 0.040684972, 0.13005173,"Tyrannosauridae.Morphotype.1",0.00000000,0.00000000,0.00000000,0.00000000,0.37649507,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54106104,0.00000000,0.08244388,0.00000000
"6","Madagascar","MSNM V5785",-0.038649201, 0.447252062, 0.08459378, 0.448871851, 0.27068773,"Dromaeosaur.Morphotype.2",0.00000000,0.00000000,0.00000000,0.00000000,0.92141495,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07858505,0.00000000,0.00000000,0.00000000
"7","Madagascar","MSNM V5787",-0.072003064, 0.170005277, 0.06084706, 0.166033509,-0.03987277,"Dromaeosaur.Morphotype.2",0.00000000,0.00000000,0.00000000,0.00000000,0.92743633,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07256367,0.00000000,0.00000000,0.00000000,0.00000000
"8","Madagascar","MSNM V5788",-0.141428161,-0.023514763,-0.20605904, 0.239034942, 0.22644108,"Dromaeosaur.Morphotype.2",0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"9","Madagascar","MSNM V5789", 0.227970440, 0.386003917, 0.13074709,-0.006389785,-0.17658375,"Dromaeosaur.Morphotype.2",0.00000000,0.00000000,0.00000000,0.00000000,0.71946798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08998614,0.19054589,0.00000000,0.00000000,0.00000000
"10","Madagascar","MSNM V5790",-0.141428161,-0.283197752,-0.33159661, 0.203447124, 0.13005173,"Dromaeosaur.Morphotype.2",0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
