"","GroupID","SPECID","CBL","CH","CBW","ADM","PDM","class","prob.Abelisauridae","prob.Allosauridae","prob.Carcharodontosauridae","prob.Dromaeosaur.Morphotype.1","prob.Dromaeosaur.Morphotype.2","prob.Dromaeosaur.Morphotype.3","prob.Megalosauridae","prob.Metriacanthosauridae","prob.Neotheropoda","prob.Neovenatoridae","prob.Noasauridae","prob.Non_abelisauroid_Ceratosauria","prob.Non_averostran_Neotheropoda","prob.Non_megalosauran_Megalosauroidea","prob.Non_tyrannosaurid_Tyrannosauroidea","prob.Proceratosauridae.","prob.Spinosauridae.Morphotype.1","prob.Therizinosauria","prob.Troodontidae","prob.Tyrannosauridae.Morphotype.1","prob.Tyrannosauridae.Morphotype.2","prob.Tyrannosauridae.Morphotype.3","prob.Tyrannosauridae.pmx.Morphotype.1"
"1","Madagascar","MSNM V5778", 0.459849518, 0.769954915, 0.67107210,-0.302138297,-0.25458214,"Tyrannosauridae.Morphotype.3", 5.953462e-24, 1.283541e-28, 3.716597e-34, 1.377440e-42, 5.255177e-06,4.237485e-211, 4.129327e-06, 5.616915e-30, 1.831841e-77, 1.925326e-36, 4.681547e-50, 2.726944e-27, 2.931939e-58, 5.416118e-42, 3.718639e-41, 5.155131e-56, 5.728454e-44, 5.462780e-75, 2.147836e-08, 2.078855e-73, 1.358381e-30, 9.999906e-01, 3.920699e-33
"2","Madagascar","MSNM V5779", 0.809558006, 0.737762154, 0.51606522,-0.378988845,-0.34080535,"Troodontidae", 3.582204e-14, 9.414832e-19, 1.391971e-20, 3.573145e-28, 1.314822e-03,6.520804e-218, 3.109270e-01, 8.947887e-19, 3.625041e-57, 5.410795e-24, 5.967427e-35, 3.531850e-19, 8.517660e-40, 4.536739e-26, 1.040665e-27, 4.424836e-44, 2.489716e-36, 4.557201e-65, 5.172744e-01, 1.576554e-84, 1.784817e-21, 1.704838e-01, 4.064057e-26
"3","Madagascar","MSNM V5781",-0.072003064,-0.219618702,-0.06533875, 0.126596576, 0.07723576,"Dromaeosaur.Morphotype.2", 2.861640e-70, 1.756570e-80, 4.586317e-87, 1.048559e-69, 1.000000e+00,1.030681e-122, 5.832665e-33, 2.009354e-82,5.187942e-113, 7.344015e-85, 1.856349e-90, 1.710481e-79, 1.495508e-98, 5.117818e-88, 1.068357e-85,1.936943e-102,2.428522e-105,6.028978e-116, 5.037986e-12, 1.012759e-57, 2.090905e-82, 1.523764e-08, 1.193900e-85
"4","Madagascar","MSNM V5782", 0.437321721, 0.251469278, 0.35747994,-0.110768339,-0.03987277,"Dromaeosaur.Morphotype.2", 1.776208e-47, 7.967081e-56, 1.548671e-57, 3.409404e-56, 8.780335e-01,3.601308e-154, 1.484737e-14, 3.159989e-56, 2.796698e-97, 1.337451e-61, 1.800365e-71, 1.597881e-51, 1.036535e-78, 1.079393e-64, 3.263453e-64, 1.404068e-82, 1.662694e-77,9.678796e-101, 8.407699e-09, 7.885871e-56, 4.278970e-55, 1.219665e-01, 7.477592e-57
"5","Madagascar","MSNM V5784", 0.280387984, 0.197876302, 0.13074709, 0.040684972, 0.13005173,"Dromaeosaur.Morphotype.2", 1.940974e-67, 1.041801e-75, 7.593568e-78, 7.789046e-61, 9.996519e-01,2.183766e-120, 3.954098e-23, 4.258029e-76,1.779506e-117, 2.729953e-83, 3.463980e-91, 2.880744e-73, 4.344454e-99, 4.654038e-85, 2.785510e-84,4.625179e-104,2.145654e-101,2.491722e-122, 1.903020e-12, 4.194346e-47, 1.188945e-77, 3.480998e-04, 4.243740e-80
"6","Madagascar","MSNM V5785",-0.038649201, 0.447252062, 0.08459378, 0.448871851, 0.27068773,"Dromaeosaur.Morphotype.2", 1.867185e-98,1.725574e-109,8.186124e-115,8.152788e-100, 1.000000e+00, 5.793046e-90, 2.188148e-42,2.193017e-111,7.863914e-159,4.037327e-118,1.598701e-128,8.770495e-108,5.910469e-140,6.884866e-123,1.310050e-120,1.358581e-140,1.200576e-134,8.790549e-159, 1.867074e-16, 3.535555e-35,4.695771e-113, 3.327719e-13,2.167748e-115
"7","Madagascar","MSNM V5787",-0.072003064, 0.170005277, 0.06084706, 0.166033509,-0.03987277,"Dromaeosaur.Morphotype.2", 5.358335e-59, 1.628642e-67, 2.955254e-76, 4.635936e-75, 9.998190e-01,1.578947e-140, 1.042380e-26, 7.982597e-70,2.651229e-103, 9.304774e-72, 2.123742e-79, 1.715179e-68, 2.217577e-88, 3.130403e-76, 6.959883e-74, 6.159420e-89, 8.762419e-88,2.262678e-103, 3.010724e-10, 8.179354e-62, 1.050493e-70, 1.810182e-04, 5.160079e-75
"8","Madagascar","MSNM V5788",-0.141428161,-0.023514763,-0.20605904, 0.239034942, 0.22644108,"Dromaeosaur.Morphotype.2", 1.739798e-89, 4.892003e-98,3.408303e-105, 3.332125e-76, 1.000000e+00,5.417292e-100, 1.876189e-40,4.385434e-100,1.261392e-134,9.374257e-105,7.343359e-110, 2.879176e-99,8.323188e-119,7.910939e-107,1.233887e-104,6.315307e-123,1.739981e-125,3.654732e-138, 2.110050e-13, 2.103712e-46,4.333899e-103, 1.449491e-12,1.694685e-107
"9","Madagascar","MSNM V5789", 0.227970440, 0.386003917, 0.13074709,-0.006389785,-0.17658375,"Dromaeosaur.Morphotype.2", 1.297100e-41, 2.374444e-47, 2.347265e-54, 3.576562e-56, 9.969806e-01,4.735903e-169, 1.828633e-17, 2.929730e-49, 3.746568e-82, 1.025764e-52, 2.693963e-59, 3.511631e-49, 2.492114e-66, 1.603982e-54, 7.064806e-54, 6.279990e-69, 5.280095e-67, 1.378097e-85, 8.451045e-07, 3.590808e-74, 2.983155e-51, 3.018522e-03, 1.049704e-57
"10","Madagascar","MSNM V5790",-0.141428161,-0.283197752,-0.33159661, 0.203447124, 0.13005173,"Dromaeosaur.Morphotype.2", 3.896927e-83, 3.803527e-91, 1.845978e-99, 3.207395e-77, 1.000000e+00,3.039262e-112, 9.539206e-43, 2.765297e-92,1.405621e-120, 1.587272e-95, 1.094849e-99, 5.072558e-93,4.855836e-107, 3.557026e-98, 3.176731e-96,2.184995e-113,1.558770e-120,7.935771e-127, 9.348380e-11, 5.590525e-58, 2.026947e-95, 9.359781e-16,3.154731e-103
"11","Madagascar","MSNM V5791",-0.159387216, 0.058270294, 0.13074709,-1.180322779,-0.03987277,"Dromaeosaur.Morphotype.1", 6.547618e-55, 1.265652e-59, 1.260072e-68, 9.999996e-01, 1.056620e-43,2.128592e-280, 3.137191e-44, 1.953364e-61, 7.858187e-91, 2.513675e-63, 1.309764e-69, 1.716015e-56, 6.034479e-76, 3.167418e-66, 2.382431e-63, 1.035543e-73, 3.750570e-74, 3.968225e-87, 3.627425e-07,2.912911e-136, 6.147948e-64, 1.501598e-41, 1.331296e-69
"12","Madagascar","MSNM V5792", 0.116243350, 0.177043496, 0.06084706, 0.126596576,-0.10537681,"Dromaeosaur.Morphotype.2", 2.679491e-53, 1.936020e-60, 2.722342e-67, 1.437315e-69, 9.999668e-01,5.159370e-149, 3.634134e-24, 2.233472e-62, 1.224277e-94, 2.593350e-65, 9.810424e-72, 4.786832e-62, 2.537697e-79, 5.837852e-68, 1.056059e-66, 2.592185e-82, 4.898336e-82, 1.080972e-97, 1.297496e-09, 1.437909e-67, 4.588790e-64, 3.317501e-05, 4.593633e-69
"13","Madagascar","MSNM V5794",-0.196076898,-0.112298184,-0.09221714, 0.394817082, 0.46186963,"Dromaeosaur.Morphotype.2",9.617853e-115,2.307621e-131,2.265798e-136, 4.114791e-87, 1.000000e+00, 2.134922e-65, 6.401748e-54,8.369703e-134,9.071515e-177,8.038275e-140,4.418740e-148,4.874480e-126,3.195358e-159,4.016913e-144,5.210833e-141,2.001682e-162,1.013899e-161,2.706360e-178, 1.913652e-22, 3.022798e-20,4.401821e-133, 9.376746e-20,9.155170e-134
