"","GroupID","SPECID","CBL","CH","CBW","ADM","PDM","class","prob.Abelisauridae","prob.Allosauridae","prob.Carcharodontosauridae","prob.Dromaeosaur.Morphotype.1","prob.Dromaeosaur.Morphotype.2","prob.Dromaeosaur.Morphotype.3","prob.Megalosauridae","prob.Metriacanthosauridae","prob.Neotheropoda","prob.Neovenatoridae","prob.Noasauridae","prob.Non_abelisauroid_Ceratosauria","prob.Non_averostran_Neotheropoda","prob.Non_megalosauran_Megalosauroidea","prob.Non_tyrannosaurid_Tyrannosauroidea","prob.Proceratosauridae.","prob.Spinosauridae.Morphotype.1","prob.Therizinosauria","prob.Troodontidae","prob.Tyrannosauridae.Morphotype.1","prob.Tyrannosauridae.Morphotype.2","prob.Tyrannosauridae.Morphotype.3","prob.Tyrannosauridae.pmx.Morphotype.1"
"1","Madagascar","MSNM V5778", 0.459849518, 0.769954915, 0.67107210,-0.302138297,-0.25458214,"Abelisauridae",0.3530,0.0610,0.0000,0.0000,0.2835,0.0005,0.0310,0.0000,0.0000,0.0055,0.0000,0.0025,0.0000,0.0020,0.0005,0.0000,0.0000,0.0000,0.1200,0.0340,0.0005,0.1050,0.0010
"2","Madagascar","MSNM V5779", 0.809558006, 0.737762154, 0.51606522,-0.378988845,-0.34080535,"Abelisauridae",0.4725,0.0185,0.0000,0.0005,0.2015,0.0000,0.0300,0.0000,0.0000,0.0015,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1195,0.0325,0.0040,0.1160,0.0010
"3","Madagascar","MSNM V5781",-0.072003064,-0.219618702,-0.06533875, 0.126596576, 0.07723576,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0020,0.9415,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0155,0.0040,0.0000,0.0325,0.0000
"4","Madagascar","MSNM V5782", 0.437321721, 0.251469278, 0.35747994,-0.110768339,-0.03987277,"Dromaeosaur.Morphotype.2",0.0940,0.0105,0.0000,0.0015,0.6380,0.0000,0.0025,0.0000,0.0000,0.0045,0.0000,0.0005,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0035,0.1170,0.0030,0.1230,0.0005
"5","Madagascar","MSNM V5784", 0.280387984, 0.197876302, 0.13074709, 0.040684972, 0.13005173,"Dromaeosaur.Morphotype.2",0.0580,0.0040,0.0000,0.0010,0.7990,0.0015,0.0005,0.0000,0.0000,0.0005,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0045,0.0805,0.0005,0.0495,0.0000
"6","Madagascar","MSNM V5785",-0.038649201, 0.447252062, 0.08459378, 0.448871851, 0.27068773,"Dromaeosaur.Morphotype.2",0.0090,0.0000,0.0000,0.0000,0.8950,0.0100,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0060,0.0555,0.0000,0.0225,0.0000
"7","Madagascar","MSNM V5787",-0.072003064, 0.170005277, 0.06084706, 0.166033509,-0.03987277,"Dromaeosaur.Morphotype.2",0.0035,0.0000,0.0000,0.0010,0.9200,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0110,0.0030,0.0000,0.0570,0.0000
"8","Madagascar","MSNM V5788",-0.141428161,-0.023514763,-0.20605904, 0.239034942, 0.22644108,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0000,0.9615,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0060,0.0005,0.0000,0.0310,0.0000
"9","Madagascar","MSNM V5789", 0.227970440, 0.386003917, 0.13074709,-0.006389785,-0.17658375,"Dromaeosaur.Morphotype.2",0.1275,0.0045,0.0000,0.0005,0.6385,0.0020,0.0015,0.0000,0.0000,0.0010,0.0000,0.0005,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.1650,0.0195,0.0000,0.0380,0.0000
"10","Madagascar","MSNM V5790",-0.141428161,-0.283197752,-0.33159661, 0.203447124, 0.13005173,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0000,0.9895,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0005,0.0000,0.0010,0.0000
