ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,Original_Taxon,Clade,Clade1,Clade2,Combined_clade,Higher_level_taxonomy,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_lat,P_Lon,Locality
341,AMNH851,17.95,36.4,17.72,0.5,0.526315789,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Hendrickx et al., 2015",Jurassic,Kimmeridgian,Tithonian,NA,Morrisson,Lake Como,157.3,145,151.15,42,-106,37.6,-52.2,Bone Cabin Quarry
342,AMNH851,22.2,43.67,9.74,0.5,0.454545455,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Hendrickx et al., 2015",Jurassic,Kimmeridgian,Tithonian,NA,Morrisson,Lake Como,157.3,145,151.15,42,-106,37.6,-52.2,Bone Cabin Quarry
453,CM 11844,17.9,39.5,17.3,0.5,0.416666667,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Hendrickx et al., 2015",Jurassic,Tithonian,Tithonian,NA,Morrisson,Brushy Basin,150.8,145,147.9,40.4,-109.3,37,-56.2,Dinosaur National Monument Quarry
454,CM 21703,12.6,33.8,14.5,0.5,0.5,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Hendrickx et al., 2015",Jurassic,Tithonian,Tithonian,NA,Morrisson,Brushy Basin,150.8,145,147.9,40.4,-109.3,37,-56.2,Dinosaur National Monument Quarry
455,CM 21703,15.5,34.8,12.8,0.476190476,0.454545455,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Hendrickx et al., 2015",Jurassic,Tithonian,Tithonian,NA,Morrisson,Brushy Basin,150.8,145,147.9,40.4,-109.3,37,-56.2,Dinosaur National Monument Quarry
456,CM 21703,14.05,34.31,12.52,0.5,0.5,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Smith et al., 2005",Jurassic,Tithonian,Tithonian,NA,Morrisson,Brushy Basin,150.8,145,147.9,40.4,-109.3,37,-56.2,Dinosaur National Monument Quarry
457,CM 21703,12.79,34.2,10.5,0.526315789,0.5,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Smith et al., 2005",Jurassic,Tithonian,Tithonian,NA,Morrisson,Brushy Basin,150.8,145,147.9,40.4,-109.3,37,-56.2,Dinosaur National Monument Quarry
458,CM 21703,13.73,33.19,10.65,0.476190476,0.454545455,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Smith et al., 2005",Jurassic,Tithonian,Tithonian,NA,Morrisson,Brushy Basin,150.8,145,147.9,40.4,-109.3,37,-56.2,Dinosaur National Monument Quarry
725,LACM 46030,16.1,33.9,15.3,0.526315789,0.5,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Smith et al., 2005",Jurassic,Kimmeridgian,Kimmeridgian,NA,Morrisson,Brushy Basin,157.3,152.1,154.7,39.3,-110.7,35,56.3,NA
726,LACM 46030,16,33.89,14.6,0.537634409,0.485436893,Allosaurus,Allosauridae,Allosauridae,Allosauridae,Allosauridae,Allosauroidea,Traupman et al 2021,"Smith et al., 2005",Jurassic,Kimmeridgian,Kimmeridgian,NA,Morrisson,Brushy Basin,157.3,152.1,154.7,39.3,-110.7,35,56.3,NA
